Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
NOR, 00:01:03.971000, 00:01:03.971000, 00:00:00,63.971,63.971,0.0,11,Austrian Grand Prix
LEC, 00:01:04.492000, 00:01:03.971000, 00:00:00.521000,64.492,63.971,0.521,11,Austrian Grand Prix
PIA, 00:01:04.554000, 00:01:03.971000, 00:00:00.583000,64.554,63.971,0.583,11,Austrian Grand Prix
HAM, 00:01:04.582000, 00:01:03.971000, 00:00:00.611000,64.582,63.971,0.611,11,Austrian Grand Prix
RUS, 00:01:04.763000, 00:01:03.971000, 00:00:00.792000,64.763,63.971,0.792,11,Austrian Grand Prix
VER, 00:01:04.836000, 00:01:03.971000, 00:00:00.865000,64.836,63.971,0.865,11,Austrian Grand Prix
BOR, 00:01:04.846000, 00:01:03.971000, 00:00:00.875000,64.846,63.971,0.875,11,Austrian Grand Prix
GAS, 00:01:04.846000, 00:01:03.971000, 00:00:00.875000,64.846,63.971,0.875,11,Austrian Grand Prix
LAW, 00:01:04.926000, 00:01:03.971000, 00:00:00.955000,64.926,63.971,0.955,11,Austrian Grand Prix
ANT, 00:01:05.052000, 00:01:03.971000, 00:00:01.081000,65.052,63.971,1.081,11,Austrian Grand Prix
HAD, 00:01:05.063000, 00:01:03.971000, 00:00:01.092000,65.063,63.971,1.092,11,Austrian Grand Prix
ALO, 00:01:05.128000, 00:01:03.971000, 00:00:01.157000,65.128,63.971,1.157,11,Austrian Grand Prix
ALB, 00:01:05.143000, 00:01:03.971000, 00:00:01.172000,65.143,63.971,1.172,11,Austrian Grand Prix
BEA, 00:01:05.218000, 00:01:03.971000, 00:00:01.247000,65.218,63.971,1.247,11,Austrian Grand Prix
COL, 00:01:05.278000, 00:01:03.971000, 00:00:01.307000,65.278,63.971,1.307,11,Austrian Grand Prix
STR, 00:01:05.329000, 00:01:03.971000, 00:00:01.358000,65.329,63.971,1.358,11,Austrian Grand Prix
OCO, 00:01:05.364000, 00:01:03.971000, 00:00:01.393000,65.364,63.971,1.393,11,Austrian Grand Prix
TSU, 00:01:05.369000, 00:01:03.971000, 00:00:01.398000,65.369,63.971,1.398,11,Austrian Grand Prix
SAI, 00:01:05.582000, 00:01:03.971000, 00:00:01.611000,65.582,63.971,1.611,11,Austrian Grand Prix
HUL, 00:01:05.606000, 00:01:03.971000, 00:00:01.635000,65.606,63.971,1.635,11,Austrian Grand Prix
