Driver,LapTime,IdealLap,DiffLap,LapTimeSec,IdealLapSec,DiffLapSec
NOR, 00:01:09.511000, 00:01:09.473000, 00:00:00.038000,69.511,69.473,0.038
ANT, 00:01:09.685000, 00:01:09.473000, 00:00:00.212000,69.685,69.473,0.212
BEA, 00:01:09.755000, 00:01:09.473000, 00:00:00.282000,69.755,69.473,0.282
LEC, 00:01:09.801000, 00:01:09.473000, 00:00:00.328000,69.801,69.473,0.328
PIA, 00:01:09.835000, 00:01:09.473000, 00:00:00.362000,69.835,69.473,0.362
GAS, 00:01:09.857000, 00:01:09.473000, 00:00:00.384000,69.857,69.473,0.384
RUS, 00:01:09.880000, 00:01:09.473000, 00:00:00.407000,69.88,69.473,0.407
HAD, 00:01:09.931000, 00:01:09.473000, 00:00:00.458000,69.931,69.473,0.458
LAW, 00:01:09.950000, 00:01:09.473000, 00:00:00.477000,69.95,69.473,0.477
HUL, 00:01:09.985000, 00:01:09.473000, 00:00:00.512000,69.985,69.473,0.512
ALO, 00:01:10.001000, 00:01:09.473000, 00:00:00.528000,70.001,69.473,0.528
HAM, 00:01:10.016000, 00:01:09.473000, 00:00:00.543000,70.016,69.473,0.543
STR, 00:01:10.041000, 00:01:09.473000, 00:00:00.568000,70.041,69.473,0.568
ALB, 00:01:10.053000, 00:01:09.473000, 00:00:00.580000,70.053,69.473,0.58
SAI, 00:01:10.184000, 00:01:09.473000, 00:00:00.711000,70.184,69.473,0.711
VER, 00:01:10.403000, 00:01:09.473000, 00:00:00.930000,70.403,69.473,0.93
OCO, 00:01:10.438000, 00:01:09.473000, 00:00:00.965000,70.438,69.473,0.965
COL, 00:01:10.632000, 00:01:09.473000, 00:00:01.159000,70.632,69.473,1.159
TSU, 00:01:10.711000, 00:01:09.473000, 00:00:01.238000,70.711,69.473,1.238
